,date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR
120,2021-03-03,Sheffield Utd,Aston Villa,1,0,H
121,2021-03-02,Man City,Wolves,4,1,H
122,2021-03-01,Everton,Southampton,1,0,H
123,2021-02-28,Crystal Palace,Fulham,0,0,D
124,2021-02-28,Leicester,Arsenal,1,3,A
125,2021-02-28,Spurs,Burnley,4,0,H
126,2021-02-28,Chelsea,Man Utd,0,0,D
127,2021-02-28,Sheffield Utd,Liverpool,0,2,A
128,2021-02-27,Man City,West Ham,2,1,H
129,2021-02-27,West Brom,Brighton,1,0,H
130,2021-02-27,Leeds,Aston Villa,0,1,A
131,2021-02-27,Newcastle,Wolves,1,1,D
132,2021-02-23,Leeds,Southampton,3,0,H
133,2021-02-22,Brighton,Crystal Palace,1,2,A
134,2021-02-21,West Ham,Spurs,2,1,H
135,2021-02-21,Aston Villa,Leicester,1,2,A
136,2021-02-21,Arsenal,Man City,0,1,A
137,2021-02-21,Man Utd,Newcastle,3,1,H
138,2021-02-20,Southampton,Chelsea,1,1,D
139,2021-02-20,Burnley,West Brom,0,0,D
140,2021-02-20,Liverpool,Everton,0,2,A
141,2021-02-20,Fulham,Sheffield Utd,1,0,H
142,2021-02-19,Wolves,Leeds,1,0,H
143,2021-02-17,Burnley,Fulham,1,1,D
144,2021-02-17,Everton,Man City,1,3,A
145,2021-02-15,West Ham,Sheffield Utd,3,0,H
146,2021-02-15,Chelsea,Newcastle,2,0,H
147,2021-02-14,Southampton,Wolves,1,2,A
148,2021-02-14,West Brom,Man Utd,1,1,D
149,2021-02-14,Arsenal,Leeds,4,2,H
150,2021-02-14,Everton,Fulham,0,2,A
151,2021-02-13,Leicester,Liverpool,3,1,H
152,2021-02-13,Crystal Palace,Burnley,0,3,A
153,2021-02-13,Man City,Spurs,3,0,H
154,2021-02-13,Brighton,Aston Villa,0,0,D
155,2021-02-08,Leeds,Crystal Palace,2,0,H
156,2021-02-07,Spurs,West Brom,2,0,H
157,2021-02-07,Wolves,Leicester,0,0,D
158,2021-02-07,Liverpool,Man City,1,4,A
159,2021-02-07,Sheffield Utd,Chelsea,1,2,A
160,2021-02-06,Aston Villa,Arsenal,1,0,H
161,2021-02-06,Burnley,Brighton,1,1,D
162,2021-02-06,Newcastle,Southampton,3,2,H
163,2021-02-06,Fulham,West Ham,0,0,D
164,2021-02-06,Man Utd,Everton,3,3,D
165,2021-02-04,Spurs,Chelsea,0,1,A
166,2021-02-03,Burnley,Man City,0,2,A
167,2021-02-03,Fulham,Leicester,0,2,A
168,2021-02-03,Leeds,Everton,1,2,A
169,2021-02-03,Aston Villa,West Ham,1,3,A
170,2021-02-03,Liverpool,Brighton,0,1,A
171,2021-02-02,Sheffield Utd,West Brom,2,1,H
172,2021-02-02,Wolves,Arsenal,2,1,H
173,2021-02-02,Man Utd,Southampton,9,0,H
174,2021-02-02,Newcastle,Crystal Palace,1,2,A
175,2021-01-31,Chelsea,Burnley,2,0,H
176,2021-01-31,Leicester,Leeds,1,3,A
177,2021-01-31,West Ham,Liverpool,1,3,A
178,2021-01-31,Brighton,Spurs,1,0,H
