,team_name,PTS,GF,GA,GD,rank
0,Chelsea,87,73,32,41,1
1,Man City,79,83,38,45,2
2,Arsenal,75,71,36,35,3
3,Man United,70,62,37,25,4
4,Tottenham,64,58,53,5,5
5,Liverpool,62,52,48,4,6
6,Southampton,60,54,33,21,7
7,Swansea,56,46,49,-3,8
8,Stoke,54,48,45,3,9
9,Crystal Palace,48,47,51,-4,10
10,Everton,47,48,50,-2,11
11,West Ham,47,44,47,-3,12
12,West Brom,44,38,51,-13,13
13,Leicester,41,46,55,-9,14
14,Newcastle,39,40,63,-23,15
15,Sunderland,38,31,53,-22,16
16,Aston Villa,38,31,57,-26,17
17,Hull,35,33,51,-18,18
18,Burnley,33,28,53,-25,19
19,QPR,30,42,73,-31,20
