,team_name,PTS,GF,GA,GD,rank
0,Chelsea,93,85,33,52,1
1,Tottenham,86,86,26,60,2
2,Man City,78,80,39,41,3
3,Liverpool,76,78,42,36,4
4,Arsenal,75,77,44,33,5
5,Man United,69,54,29,25,6
6,Everton,61,62,44,18,7
7,Southampton,46,41,48,-7,8
8,Bournemouth,46,55,67,-12,9
9,West Brom,45,43,51,-8,10
10,West Ham,45,47,64,-17,11
11,Leicester,44,48,63,-15,12
12,Stoke,44,41,56,-15,13
13,Crystal Palace,41,50,63,-13,14
14,Swansea,41,45,70,-25,15
15,Burnley,40,39,55,-16,16
16,Watford,40,40,68,-28,17
17,Hull,34,37,80,-43,18
18,Middlesbrough,28,27,53,-26,19
19,Sunderland,24,29,69,-40,20
