,team_name,PTS,GF,GA,GD,rank
0,Man City,98,95,23,72,1
1,Liverpool,97,89,22,67,2
2,Chelsea,72,63,39,24,3
3,Spurs,71,67,39,28,4
4,Arsenal,70,73,51,22,5
5,Man Utd,66,65,54,11,6
6,Wolves,57,47,46,1,7
7,Everton,54,54,46,8,8
8,Leicester,52,51,48,3,9
9,West Ham,52,52,55,-3,10
10,Watford,50,52,59,-7,11
11,Crystal Palace,49,51,53,-2,12
12,Newcastle,45,42,48,-6,13
13,Bournemouth,45,56,70,-14,14
14,Burnley,40,45,68,-23,15
15,Southampton,39,45,65,-20,16
16,Brighton,36,35,60,-25,17
17,Cardiff,34,34,69,-35,18
18,Fulham,26,34,81,-47,19
19,Huddersfield,16,22,76,-54,20
