,team_name,PTS,GF,GA,GD,rank
0,Liverpool,99,85,33,52,1
1,Man City,81,102,35,67,2
2,Man Utd,66,66,36,30,3
3,Chelsea,66,69,54,15,4
4,Leicester,62,67,41,26,5
5,Spurs,59,61,47,14,6
6,Wolves,59,51,40,11,7
7,Arsenal,56,56,48,8,8
8,Sheffield Utd,54,39,39,0,9
9,Burnley,54,43,50,-7,10
10,Southampton,52,51,60,-9,11
11,Everton,49,44,56,-12,12
12,Newcastle,44,38,58,-20,13
13,Crystal Palace,43,31,50,-19,14
14,Brighton,41,39,54,-15,15
15,West Ham,39,49,62,-13,16
16,Aston Villa,35,41,67,-26,17
17,Bournemouth,34,40,65,-25,18
18,Watford,34,36,64,-28,19
19,Norwich,21,26,75,-49,20
