,team_name,PTS,GF,GA,GD,rank
0,Manchester City,86,83,32,51,1
1,Manchester United,74,73,44,29,2
2,Liverpool,69,68,42,26,3
3,Chelsea,67,58,36,22,4
4,Leicester City,66,68,50,18,5
5,West Ham United,65,62,47,15,6
6,Tottenham Hotspur,62,68,45,23,7
7,Arsenal,61,55,39,16,8
8,Leeds United,59,62,54,8,9
9,Everton,59,47,48,-1,10
10,Aston Villa,55,55,46,9,11
11,Newcastle United,45,46,62,-16,12
12,Wolverhampton Wanderers,45,36,52,-16,13
13,Crystal Palace,44,41,66,-25,14
14,Southampton,43,47,68,-21,15
15,Brighton & Hove Albion,41,40,46,-6,16
16,Burnley,39,33,55,-22,17
17,Fulham,28,27,53,-26,18
18,West Bromwich Albion,26,35,76,-41,19
19,Sheffield United,23,20,63,-43,20
