,Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeTeam_p1Win,HomeTeam_p1Draw,HomeTeam_p1Lose,HomeTeam_p2Win,HomeTeam_p2Draw,HomeTeam_p2Lose,HomeTeam_p3Win,HomeTeam_p3Draw,HomeTeam_p3Lose,HomeTeam_p4Win,HomeTeam_p4Draw,HomeTeam_p4Lose,HomeTeam_p5Win,HomeTeam_p5Draw,HomeTeam_p5Lose,AwayTeam_p1Win,AwayTeam_p1Draw,AwayTeam_p1Lose,AwayTeam_p2Win,AwayTeam_p2Draw,AwayTeam_p2Lose,AwayTeam_p3Win,AwayTeam_p3Draw,AwayTeam_p3Lose,AwayTeam_p4Win,AwayTeam_p4Draw,AwayTeam_p4Lose,AwayTeam_p5Win,AwayTeam_p5Draw,AwayTeam_p5Lose
40,40,2016-09-16,Chelsea,Liverpool,1,2,A,False,True,False,True,False,False,True,False,False,True,False,False,,,,True,False,False,False,True,False,False,False,True,True,False,False,,,
41,41,2016-09-17,Everton,Middlesbrough,3,1,H,True,False,False,True,False,False,True,False,False,False,True,False,,,,False,False,True,False,True,False,True,False,False,False,True,False,,,
42,42,2016-09-17,Hull City,Arsenal,1,4,A,False,True,False,False,False,True,True,False,False,True,False,False,,,,True,False,False,True,False,False,False,True,False,False,False,True,,,
43,43,2016-09-17,Leicester City,Burnley,3,0,H,False,False,True,True,False,False,False,True,False,False,False,True,,,,False,True,False,False,False,True,True,False,False,False,False,True,,,
44,44,2016-09-17,Manchester City,Bournemouth,4,0,H,True,False,False,True,False,False,True,False,False,True,False,False,,,,True,False,False,False,True,False,False,False,True,False,False,True,,,
45,45,2016-09-17,West Bromwich Albion,West Ham United,4,2,H,False,False,True,False,True,False,False,False,True,True,False,False,,,,False,False,True,False,False,True,True,False,False,False,False,True,,,
46,46,2016-09-18,Crystal Palace,Stoke City,4,1,H,True,False,False,False,True,False,False,False,True,False,False,True,,,,False,False,True,False,False,True,False,False,True,False,True,False,,,
47,47,2016-09-18,Southampton,Swansea City,1,0,H,False,False,True,False,True,False,False,False,True,False,True,False,,,,False,True,False,False,False,True,False,False,True,True,False,False,,,
48,48,2016-09-18,Tottenham Hotspur,Sunderland,1,0,H,True,False,False,False,True,False,True,False,False,False,True,False,,,,False,False,True,False,True,False,False,False,True,False,False,True,,,
49,49,2016-09-18,Watford,Manchester United,3,1,H,True,False,False,False,False,True,False,False,True,False,True,False,,,,False,False,True,True,False,False,True,False,False,True,False,False,,,
50,50,2016-09-24,Arsenal,Chelsea,3,0,H,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False
51,51,2016-09-24,Bournemouth,Everton,1,0,H,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False
