,Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeTeam_p1Win,HomeTeam_p1Draw,HomeTeam_p1Lose,HomeTeam_p2Win,HomeTeam_p2Draw,HomeTeam_p2Lose,HomeTeam_p3Win,HomeTeam_p3Draw,HomeTeam_p3Lose,HomeTeam_p4Win,HomeTeam_p4Draw,HomeTeam_p4Lose,HomeTeam_p5Win,HomeTeam_p5Draw,HomeTeam_p5Lose,AwayTeam_p1Win,AwayTeam_p1Draw,AwayTeam_p1Lose,AwayTeam_p2Win,AwayTeam_p2Draw,AwayTeam_p2Lose,AwayTeam_p3Win,AwayTeam_p3Draw,AwayTeam_p3Lose,AwayTeam_p4Win,AwayTeam_p4Draw,AwayTeam_p4Lose,AwayTeam_p5Win,AwayTeam_p5Draw,AwayTeam_p5Lose
0,0,2014-08-16,Arsenal,Crystal Palace,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2014-08-16,Leicester City,Everton,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2014-08-16,Manchester United,Swansea City,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,2014-08-16,Queens Park Rangers,Hull City,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,2014-08-16,Stoke City,Aston Villa,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,2014-08-16,West Bromwich Albion,Sunderland,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,2014-08-16,West Ham United,Tottenham Hotspur,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,2014-08-17,Liverpool,Southampton,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,2014-08-17,Newcastle United,Manchester City,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,2014-08-18,Burnley,Chelsea,1,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
