,Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeTeam_p1Win,HomeTeam_p1Draw,HomeTeam_p1Lose,HomeTeam_p2Win,HomeTeam_p2Draw,HomeTeam_p2Lose,HomeTeam_p3Win,HomeTeam_p3Draw,HomeTeam_p3Lose,HomeTeam_p4Win,HomeTeam_p4Draw,HomeTeam_p4Lose,HomeTeam_p5Win,HomeTeam_p5Draw,HomeTeam_p5Lose,AwayTeam_p1Win,AwayTeam_p1Draw,AwayTeam_p1Lose,AwayTeam_p2Win,AwayTeam_p2Draw,AwayTeam_p2Lose,AwayTeam_p3Win,AwayTeam_p3Draw,AwayTeam_p3Lose,AwayTeam_p4Win,AwayTeam_p4Draw,AwayTeam_p4Lose,AwayTeam_p5Win,AwayTeam_p5Draw,AwayTeam_p5Lose
0,0,2015-08-08,Bournemouth,Aston Villa,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2015-08-08,Chelsea,Swansea City,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2015-08-08,Everton,Watford,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,2015-08-08,Leicester City,Sunderland,4,2,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,2015-08-08,Manchester United,Tottenham Hotspur,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,2015-08-08,Norwich City,Crystal Palace,1,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,2015-08-09,Arsenal,West Ham United,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,2015-08-09,Newcastle United,Southampton,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,2015-08-09,Stoke City,Liverpool,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,2015-08-10,West Bromwich Albion,Manchester City,0,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
