,Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeTeam_p1Win,HomeTeam_p1Draw,HomeTeam_p1Lose,HomeTeam_p2Win,HomeTeam_p2Draw,HomeTeam_p2Lose,HomeTeam_p3Win,HomeTeam_p3Draw,HomeTeam_p3Lose,HomeTeam_p4Win,HomeTeam_p4Draw,HomeTeam_p4Lose,HomeTeam_p5Win,HomeTeam_p5Draw,HomeTeam_p5Lose,AwayTeam_p1Win,AwayTeam_p1Draw,AwayTeam_p1Lose,AwayTeam_p2Win,AwayTeam_p2Draw,AwayTeam_p2Lose,AwayTeam_p3Win,AwayTeam_p3Draw,AwayTeam_p3Lose,AwayTeam_p4Win,AwayTeam_p4Draw,AwayTeam_p4Lose,AwayTeam_p5Win,AwayTeam_p5Draw,AwayTeam_p5Lose
0,0,2017-08-11,Arsenal,Leicester City,4,3,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2017-08-12,Brighton & Hove Albion,Manchester City,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2017-08-12,Chelsea,Burnley,2,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,2017-08-12,Crystal Palace,Huddersfield Town,0,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,2017-08-12,Everton,Stoke City,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,2017-08-12,Southampton,Swansea City,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,2017-08-12,Watford,Liverpool,3,3,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,2017-08-12,West Bromwich Albion,Bournemouth,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,2017-08-13,Manchester United,West Ham United,4,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,2017-08-13,Newcastle United,Tottenham Hotspur,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,2017-08-19,Bournemouth,Watford,0,2,A,False,False,True,,,,,,,,,,,,,False,True,False,,,,,,,,,,,,
11,11,2017-08-19,Burnley,West Bromwich Albion,0,1,A,True,False,False,,,,,,,,,,,,,True,False,False,,,,,,,,,,,,
12,12,2017-08-19,Leicester City,Brighton & Hove Albion,2,0,H,False,False,True,,,,,,,,,,,,,False,False,True,,,,,,,,,,,,
13,13,2017-08-19,Liverpool,Crystal Palace,1,0,H,False,True,False,,,,,,,,,,,,,False,False,True,,,,,,,,,,,,
14,14,2017-08-19,Southampton,West Ham United,3,2,H,False,True,False,,,,,,,,,,,,,False,False,True,,,,,,,,,,,,
15,15,2017-08-19,Stoke City,Arsenal,1,0,H,False,False,True,,,,,,,,,,,,,True,False,False,,,,,,,,,,,,
16,16,2017-08-19,Swansea City,Manchester United,0,4,A,False,True,False,,,,,,,,,,,,,True,False,False,,,,,,,,,,,,
17,17,2017-08-20,Huddersfield Town,Newcastle United,1,0,H,True,False,False,,,,,,,,,,,,,False,False,True,,,,,,,,,,,,
18,18,2017-08-20,Tottenham Hotspur,Chelsea,1,2,A,True,False,False,,,,,,,,,,,,,False,False,True,,,,,,,,,,,,
19,19,2017-08-21,Manchester City,Everton,1,1,D,True,False,False,,,,,,,,,,,,,True,False,False,,,,,,,,,,,,
20,20,2017-08-26,Bournemouth,Manchester City,1,2,A,False,False,True,False,False,True,,,,,,,,,,False,True,False,True,False,False,,,,,,,,,
21,21,2017-08-26,Crystal Palace,Swansea City,0,2,A,False,False,True,False,False,True,,,,,,,,,,False,False,True,False,True,False,,,,,,,,,
22,22,2017-08-26,Huddersfield Town,Southampton,0,0,D,True,False,False,True,False,False,,,,,,,,,,True,False,False,False,True,False,,,,,,,,,
23,23,2017-08-26,Manchester United,Leicester City,2,0,H,True,False,False,True,False,False,,,,,,,,,,True,False,False,False,False,True,,,,,,,,,
24,24,2017-08-26,Newcastle United,West Ham United,3,0,H,False,False,True,False,False,True,,,,,,,,,,False,False,True,False,False,True,,,,,,,,,
25,25,2017-08-26,Watford,Brighton & Hove Albion,0,0,D,True,False,False,False,True,False,,,,,,,,,,False,False,True,False,False,True,,,,,,,,,
26,26,2017-08-27,Chelsea,Everton,2,0,H,True,False,False,False,False,True,,,,,,,,,,False,True,False,True,False,False,,,,,,,,,
