,date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR
121,2019-02-10,Man City,Chelsea,6,0,H
122,2019-02-09,Fulham,Man Utd,0,3,A
123,2019-02-09,Crystal Palace,West Ham,1,1,D
124,2019-02-09,Huddersfield,Arsenal,1,2,A
125,2019-02-09,Liverpool,Bournemouth,3,0,H
126,2019-02-09,Southampton,Cardiff,1,2,A
127,2019-02-09,Watford,Everton,1,0,H
128,2019-02-09,Brighton,Burnley,1,3,A
129,2019-02-06,Everton,Man City,0,2,A
130,2019-02-04,West Ham,Liverpool,1,1,D
131,2019-02-03,Leicester,Man Utd,0,1,A
132,2019-02-03,Man City,Arsenal,3,1,H
133,2019-02-02,Spurs,Newcastle,1,0,H
134,2019-02-02,Brighton,Watford,0,0,D
135,2019-02-02,Burnley,Southampton,1,1,D
136,2019-02-02,Chelsea,Huddersfield,5,0,H
137,2019-02-02,Crystal Palace,Fulham,2,0,H
138,2019-02-02,Everton,Wolves,1,3,A
139,2019-02-02,Cardiff,Bournemouth,2,0,H
140,2019-01-30,Bournemouth,Chelsea,4,0,H
141,2019-01-30,Southampton,Crystal Palace,1,1,D
142,2019-01-30,Liverpool,Leicester,1,1,D
143,2019-01-30,Spurs,Watford,2,1,H
144,2019-01-29,Arsenal,Cardiff,2,1,H
145,2019-01-29,Fulham,Brighton,4,2,H
146,2019-01-29,Huddersfield,Everton,0,1,A
147,2019-01-29,Wolves,West Ham,3,0,H
148,2019-01-29,Man Utd,Burnley,2,2,D
149,2019-01-29,Newcastle,Man City,2,1,H
150,2019-01-20,Huddersfield,Man City,0,3,A
151,2019-01-20,Fulham,Spurs,1,2,A
152,2019-01-19,Wolves,Leicester,4,3,H
153,2019-01-19,Bournemouth,West Ham,2,0,H
154,2019-01-19,Liverpool,Crystal Palace,4,3,H
155,2019-01-19,Man Utd,Brighton,2,1,H
156,2019-01-19,Newcastle,Cardiff,3,0,H
157,2019-01-19,Southampton,Everton,2,1,H
158,2019-01-19,Watford,Burnley,0,0,D
159,2019-01-19,Arsenal,Chelsea,2,0,H
160,2019-01-14,Man City,Wolves,3,0,H
161,2019-01-13,Everton,Bournemouth,2,0,H
162,2019-01-13,Spurs,Man Utd,0,1,A
163,2019-01-12,West Ham,Arsenal,1,0,H
164,2019-01-12,Brighton,Liverpool,0,1,A
165,2019-01-12,Burnley,Fulham,2,1,H
166,2019-01-12,Cardiff,Huddersfield,0,0,D
167,2019-01-12,Crystal Palace,Watford,1,2,A
168,2019-01-12,Leicester,Southampton,1,2,A
169,2019-01-12,Chelsea,Newcastle,2,1,H
170,2019-01-03,Man City,Liverpool,2,1,H
171,2019-01-02,Bournemouth,Watford,3,3,D
172,2019-01-02,Chelsea,Southampton,0,0,D
173,2019-01-02,Huddersfield,Burnley,1,2,A
174,2019-01-02,West Ham,Brighton,2,2,D
175,2019-01-02,Wolves,Crystal Palace,0,2,A
176,2019-01-02,Newcastle,Man Utd,0,2,A
177,2019-01-01,Everton,Leicester,0,1,A
178,2019-01-01,Arsenal,Fulham,4,1,H
179,2019-01-01,Cardiff,Spurs,0,3,A
180,2018-12-30,Crystal Palace,Chelsea,0,1,A
181,2018-12-30,Burnley,West Ham,2,0,H
182,2018-12-30,Southampton,Man City,1,3,A
183,2018-12-30,Man Utd,Bournemouth,4,1,H
184,2018-12-29,Brighton,Everton,1,0,H
185,2018-12-29,Fulham,Huddersfield,1,0,H
186,2018-12-29,Leicester,Cardiff,0,1,A
187,2018-12-29,Spurs,Wolves,1,3,A
188,2018-12-29,Watford,Newcastle,1,1,D
189,2018-12-29,Liverpool,Arsenal,5,1,H
190,2018-12-27,Southampton,West Ham,1,2,A
191,2018-12-26,Fulham,Wolves,1,1,D
192,2018-12-26,Burnley,Everton,1,5,A
193,2018-12-26,Crystal Palace,Cardiff,0,0,D
194,2018-12-26,Leicester,Man City,2,1,H
195,2018-12-26,Liverpool,Newcastle,4,0,H
196,2018-12-26,Man Utd,Huddersfield,3,1,H
197,2018-12-26,Spurs,Bournemouth,5,0,H
198,2018-12-26,Brighton,Arsenal,1,1,D
199,2018-12-26,Watford,Chelsea,1,2,A
200,2018-12-23,Everton,Spurs,2,6,A
201,2018-12-22,Arsenal,Burnley,3,1,H
202,2018-12-22,Bournemouth,Brighton,2,0,H
203,2018-12-22,Chelsea,Leicester,0,1,A
204,2018-12-22,Huddersfield,Southampton,1,3,A
