club_name,value_eur,wage_eur
Arsenal,509950000,2961000
Bournemouth,137030000,1276000
Brighton & Hove Albion,120325000,1014000
Burnley,131065000,1085000
Chelsea,671405000,3508000
Crystal Palace,180815000,1129000
Everton,332050000,2467000
Huddersfield Town,88160000,761000
Leicester City,236280000,1487000
Liverpool,466200000,2725000
Manchester City,578215000,3141000
Manchester United,610025000,3497000
Newcastle United,161015000,1290000
Southampton,232745000,1717000
Stoke City,199675000,1344000
Swansea City,168360000,1381000
Tottenham Hotspur,525450000,2240000
Watford,216875000,1407000
West Bromwich Albion,150275000,1317000
West Ham United,227410000,1987000
