club_name,value_eur,wage_eur
Arsenal,401890000,2640000
Aston Villa,114925000,1013000
Bournemouth,62720000,619000
Chelsea,484850000,2847000
Crystal Palace,96585000,1006000
Everton,188550000,1129000
Leicester City,77395000,773000
Liverpool,289200000,2111000
Manchester City,434150000,2817000
Manchester United,366715000,2278000
Newcastle United,138750000,1308000
Norwich City,62340000,712000
Southampton,145575000,1050000
Stoke City,146275000,1104000
Sunderland,106730000,1016000
Swansea City,137900000,1103000
Tottenham Hotspur,232845000,1577000
Watford,78125000,818000
West Bromwich Albion,100500000,894000
West Ham United,125555000,1077000
