club_name,value_eur,wage_eur
Arsenal,512225000,3146000
Bournemouth,98785000,990000
Burnley,62925000,648000
Chelsea,519475000,3379000
Crystal Palace,166395000,1494000
Everton,268840000,2070000
Hull City,83935000,723000
Leicester City,223575000,1472000
Liverpool,382010000,2514000
Manchester City,483050000,3442000
Manchester United,565245000,3412000
Middlesbrough,108495000,733000
Southampton,166355000,1394000
Stoke City,224045000,1544000
Sunderland,123405000,827000
Swansea City,155275000,1400000
Tottenham Hotspur,386945000,2045000
Watford,147750000,1202000
West Bromwich Albion,105705000,790000
West Ham United,236915000,2431000
